Coefficient,Nodes,Links,Diameter,Density,Average Path Length,Mode,Giant Cluster Density,% Nodes in Giant
0.14999999999999999,76,258,18,0.09052631578947369,5.372747747747748,2.9637138144800002,0.1423728813559322,0.7894736842105263
0.31,76,548,12,0.19228070175438597,3.144340088976767,2.8014030872000002,0.26884920634920634,0.8421052631578947
0.46000000000000002,76,788,10,0.27649122807017545,2.435214446952596,2.9637138144800002,0.3545906829488919,0.881578947368421
0.60999999999999999,76,1028,6,0.3607017543859649,1.9179440937781786,2.8418915887299998,0.46223428312980547,0.881578947368421
0.76000000000000001,76,1224,5,0.4294736842105263,1.6521152115211521,2.7555845334599995,0.5504296698326548,0.881578947368421
0.92000000000000004,76,1409,4,0.4943859649122807,1.4644464446444645,2.8014030872000002,0.6336499321573948,0.881578947368421
1.0700000000000001,76,1579,8,0.5540350877192982,1.8832255610498287,3.0470848020800001,0.6004566210045662,0.9605263157894737
1.22,76,1697,7,0.595438596491228,1.789653860783568,3.1668536678099994,0.6453576864535768,0.9605263157894737
1.3799999999999999,76,1815,6,0.6368421052631579,1.599847850893876,2.7555845334599995,0.6902587519025876,0.9605263157894737
1.53,76,1908,5,0.6694736842105263,1.5138836059338152,3.4492238789599998,0.7256468797564688,0.9605263157894737
